date,campaign_id,campaign_name,channel,spend,impressions,clicks,conversions,revenue
2026-03-01,CB-01,Campaign 1,Google Ads,230000,2555556,77,55,412500
2026-08-01,CB-02,Campaign 2,Meta Ads,303000,1683333,101,39,214500
2026-08-01,CB-03,Campaign 3,Meta Ads,177000,737500,59,23,188600
2026-04-01,CB-04,Campaign 4,LinkedIn,224000,3733333,75,264,2164800
2026-03-01,CB-05,Campaign 5,Influencer,359000,5983333,120,120,984000
2026-08-01,CB-06,Campaign 6,Email,333000,3700000,111,43,266600
2026-03-01,CB-07,Campaign 7,Email,233000,970833,78,30,375000
2026-03-01,CB-08,Campaign 8,Google Ads,277000,4616667,92,66,594000
2026-03-01,CB-09,Campaign 9,Meta Ads,384000,6400000,128,154,1925000
2026-07-01,CB-10,Campaign 10,Influencer,198000,1100000,66,233,1444600
2026-05-01,CB-11,Campaign 11,LinkedIn,356000,2966667,119,142,1164400
2026-05-01,CB-12,Campaign 12,Meta Ads,340000,2833333,113,400,2480000
2026-07-01,CB-13,Campaign 13,LinkedIn,143000,794444,48,18,162000
2026-05-01,CB-14,Campaign 14,Google Ads,207000,2300000,69,83,680600
2026-05-01,CB-15,Campaign 15,LinkedIn,308000,2566667,103,103,927000
2026-06-01,CB-16,Campaign 16,Google Ads,180000,1500000,60,212,2650000
2026-05-01,CB-17,Campaign 17,Google Ads,351000,1462500,117,84,462000
2026-06-01,CB-18,Campaign 18,LinkedIn,188000,3133333,63,75,562500
2026-08-01,CB-19,Campaign 19,Influencer,308000,2566667,103,220,1980000
2026-06-01,CB-20,Campaign 20,Influencer,256000,1422222,85,85,765000
2026-07-01,CB-21,Campaign 21,Influencer,102000,566667,34,41,512500
2026-07-01,CB-22,Campaign 22,Google Ads,142000,1577778,47,47,258500
2026-03-01,CB-23,Campaign 23,Email,397000,4411111,132,132,726000
2026-03-01,CB-24,Campaign 24,Meta Ads,284000,2366667,95,114,1425000
2026-05-01,CB-25,Campaign 25,LinkedIn,369000,3075000,123,123,1107000
2026-04-01,CB-26,Campaign 26,Influencer,379000,2105556,126,126,1033200
2026-06-01,CB-27,Campaign 27,Google Ads,166000,691667,55,40,220000
2026-04-01,CB-28,Campaign 28,Google Ads,85000,354167,28,61,457500
2026-06-01,CB-29,Campaign 29,Influencer,146000,2433333,49,104,572000
2026-05-01,CB-30,Campaign 30,Email,112000,466667,37,14,114800
2026-07-01,CB-31,Campaign 31,LinkedIn,270000,1125000,90,108,810000
2026-04-01,CB-32,Campaign 32,LinkedIn,295000,2458333,98,98,607600
2026-08-01,CB-33,Campaign 33,Influencer,343000,2858333,114,404,2222000
2026-03-01,CB-34,Campaign 34,Influencer,101000,1683333,34,24,132000
2026-08-01,CB-35,Campaign 35,Email,97000,1077778,32,12,98400
2026-07-01,CB-36,Campaign 36,Meta Ads,105000,1750000,35,13,71500
2026-04-01,CB-37,Campaign 37,Email,324000,1800000,108,231,1270500
2026-05-01,CB-38,Campaign 38,LinkedIn,228000,3800000,76,163,1336600
2026-04-01,CB-39,Campaign 39,Google Ads,378000,6300000,126,126,781200
2026-05-01,CB-40,Campaign 40,Influencer,115000,479167,38,82,508400
2026-03-01,CB-41,Campaign 41,Meta Ads,89000,494444,30,21,262500
2026-04-01,CB-42,Campaign 42,Influencer,85000,354167,28,100,750000
